,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
0,TransactionDT,18512,17901,31641,24319,32588,24992.2
1,TransactionAmt,15123,13883,24035,18297,23662,19000.0
2,ProductCD,724,807,1328,1194,1341,1078.8
3,card1,15445,13127,22254,17933,23399,18431.6
4,card2,13384,14804,25267,21597,25226,20055.6
5,card3,466,578,1373,1543,2004,1192.8
6,card4,911,1065,2360,2234,2974,1908.8
7,card5,5199,5017,10089,8615,11546,8093.2
8,card6,774,1093,1561,1449,1430,1261.4
9,addr1,16685,11993,22113,17422,24050,18452.6
10,addr2,280,206,260,265,331,268.4
11,dist1,7429,7501,13721,10178,12875,10340.8
12,dist2,1711,1973,4788,3299,4088,3171.8
13,P_emaildomain,4899,4525,9360,7284,9784,7170.4
14,R_emaildomain,1914,2204,3859,3159,3500,2927.2
15,C1,2626,3450,6298,5807,6720,4980.2
16,C2,2655,2945,5831,5521,6494,4689.2
17,C3,31,13,183,158,245,126.0
18,C4,349,408,730,647,843,595.4
19,C5,1106,1149,2248,2007,2731,1848.2
20,C6,2347,2471,4475,4167,4979,3687.8
21,C7,151,225,486,404,439,341.0
22,C8,614,555,998,985,1389,908.2
23,C9,1627,2015,3701,3284,4200,2965.4
24,C10,468,618,1131,1119,1440,955.2
25,C11,1995,2222,4381,4105,5119,3564.4
26,C12,372,433,1060,1087,1709,932.2
27,C13,5666,5030,8662,8070,10577,7601.0
28,C14,2144,2326,4719,4418,6214,3964.2
29,D1,4800,4798,8741,8021,10364,7344.8
30,D2,6332,7083,11708,10315,11756,9438.8
31,D3,4276,3339,5876,4293,5078,4572.4
32,D4,6424,6877,11926,10451,12755,9686.6
33,D5,4285,3446,6313,4310,5243,4719.4
34,D6,779,811,1694,1525,2075,1376.8
35,D7,301,417,740,542,667,533.4
36,D8,3827,3829,6378,5354,6444,5166.4
37,D9,2819,2197,3572,2695,3575,2971.6
38,D10,6610,7050,12262,10479,11683,9616.8
39,D11,3515,2968,5519,5677,8080,5151.8
40,D12,656,829,1767,1503,1837,1318.4
41,D13,330,447,920,954,1451,820.4
42,D14,718,881,1926,1489,2351,1473.0
43,D15,8252,7713,14025,12308,15273,11514.2
44,M1,39,17,34,26,39,31.0
45,M2,366,346,619,577,792,540.0
46,M3,712,665,1049,961,1195,916.4
47,M4,1398,1351,2693,2412,3211,2213.0
48,M5,1249,1367,2441,2273,2938,2053.6
49,M6,1230,1321,2363,2137,2771,1964.4
50,M7,395,445,904,755,1024,704.6
51,M8,367,411,791,742,1060,674.2
52,M9,269,293,828,848,1235,694.6
53,V1,6,7,9,9,5,7.2
54,V2,34,76,175,263,333,176.2
55,V3,125,154,383,411,554,325.4
56,V4,332,338,749,710,1019,629.6
57,V5,494,477,944,931,1313,831.8
58,V6,68,111,167,279,340,193.0
59,V7,251,270,412,460,567,392.0
60,V8,16,22,112,107,195,90.4
61,V9,46,74,115,159,183,115.4
62,V10,296,193,418,443,616,393.2
63,V11,263,224,524,457,601,413.8
64,V12,440,444,941,995,1263,816.6
65,V13,595,695,1391,1188,1434,1060.6
66,V14,0,0,0,0,11,2.2
67,V15,82,57,110,82,96,85.4
68,V16,87,58,102,72,92,82.2
69,V17,69,30,91,67,89,69.2
70,V18,77,41,89,71,87,73.0
71,V19,416,496,1025,886,1198,804.2
72,V20,577,698,1254,1068,1534,1026.2
73,V21,38,22,42,35,47,36.8
74,V22,67,34,54,54,78,57.4
75,V23,120,103,280,311,481,259.0
76,V24,177,299,612,529,712,465.8
77,V25,247,137,245,211,367,241.4
78,V26,207,138,227,250,339,232.2
79,V27,0,0,1,0,2,0.6
80,V28,0,0,5,2,1,1.6
81,V29,290,228,479,448,612,411.4
82,V30,335,303,553,540,711,488.4
83,V31,39,32,69,50,42,46.4
84,V32,49,31,55,46,61,48.4
85,V33,36,26,97,155,244,111.6
86,V34,30,32,104,204,295,133.0
87,V35,552,774,1501,1434,1739,1200.0
88,V36,576,782,1524,1558,1609,1209.8
89,V37,422,559,958,769,913,724.2
90,V38,605,546,1279,1211,1506,1029.4
91,V39,128,135,262,227,322,214.8
92,V40,143,141,258,277,341,232.0
93,V41,3,4,4,4,4,3.8
94,V42,117,105,234,194,206,171.2
95,V43,141,124,254,291,399,241.8
96,V44,336,466,839,747,1084,694.4
97,V45,554,688,1382,1276,1733,1126.6
98,V46,67,75,177,182,227,145.6
99,V47,284,329,572,539,589,462.6
100,V48,469,390,700,618,916,618.6
101,V49,414,364,883,725,868,650.8
102,V50,60,46,97,94,106,80.6
103,V51,112,101,258,354,439,252.8
104,V52,170,151,388,448,561,343.6
105,V53,537,677,1262,1310,1428,1042.8
106,V54,486,638,1390,1308,1656,1095.6
107,V55,132,225,477,443,671,389.6
108,V56,260,386,774,733,1068,644.2
109,V57,49,44,119,142,168,104.4
110,V58,106,100,222,239,320,197.4
111,V59,39,44,121,135,193,106.4
112,V60,62,51,174,169,273,145.8
113,V61,339,534,1224,1145,1482,944.8
114,V62,652,780,1682,1549,1925,1317.6
115,V63,63,72,156,120,200,122.2
116,V64,73,128,188,208,333,186.0
117,V65,5,0,3,1,0,1.8
118,V66,237,182,335,392,501,329.4
119,V67,401,397,722,675,861,611.2
120,V68,0,0,0,1,0,0.2
121,V69,234,257,536,541,672,448.0
122,V70,334,359,627,614,849,556.6
123,V71,40,44,97,82,99,72.4
124,V72,79,49,142,161,220,130.2
125,V73,43,59,188,215,282,157.4
126,V74,119,111,295,357,460,268.4
127,V75,738,693,1418,1423,1914,1237.2
128,V76,845,874,1610,1496,2049,1374.8
129,V77,264,334,870,748,934,630.0
130,V78,551,717,1294,1295,1651,1101.6
131,V79,126,120,281,289,305,224.2
132,V80,86,68,152,119,204,125.8
133,V81,110,108,232,288,394,226.4
134,V82,517,624,1602,1510,1848,1220.2
135,V83,812,923,1996,1925,2140,1559.2
136,V84,34,40,77,74,111,67.2
137,V85,85,76,175,204,246,157.2
138,V86,297,293,614,722,1007,586.6
139,V87,646,646,1410,1349,1683,1146.8
140,V88,0,0,0,0,2,0.4
141,V89,0,0,1,0,0,0.2
142,V90,362,354,718,610,790,566.8
143,V91,363,340,783,644,988,623.6
144,V92,77,68,130,108,126,101.8
145,V93,63,79,188,157,216,140.6
146,V94,46,40,80,174,275,123.0
147,V95,54,52,79,103,127,83.0
148,V96,448,445,735,604,751,596.6
149,V97,103,86,198,140,217,148.8
150,V98,10,31,62,56,79,47.6
151,V99,387,474,784,695,877,643.4
152,V100,57,56,136,118,165,106.4
153,V101,24,28,30,56,59,39.4
